unique_id,state,plant_name,utility_name,utility_id,county_code,county_name,latitude,longitude,fuel_type,nameplate_capacity,generation_mwh,emissions_tons
7441,NE,Kearney,Nebraska Public Power District,13337,19,Buffalo,40.703511,-99.100753,HYDRO,2,404,
7393,NE,Beaver City,City of Beaver City - (NE),1435,65,Furnas,40.130304,-99.827772,GAS,2,0,
7478,NE,Salt Valley Wind Plant,Lincoln Electric System,11018,109,Lancaster,40.9044,-96.6231,WIND,1,2363,
7401,NE,Campbell Village,Village of Campbell - (NE),2931,61,Franklin,40.2992,-98.7331,OIL,1,0,
7390,NE,Arnold,Village of Arnold - (NE),871,41,Custer,41.421928,-100.19561,OIL,1,0,
7318,ND,American Crystal Sugar Hillsboro,American Crystal Sugar Co,491,97,Traill,47.437562,-97.06311,COAL,13,0,0
7339,ND,Enderlin,Archer Daniels Midland Co,772,73,Ransom,46.6144,-97.5765,BIOMASS,10,185,0
7372,ND,Portable Generator 3,Montana-Dakota Utilities Co,12199,105,Williams,48.145,-103.6375,OIL,2,2,2
7371,ND,Portable Generator 2,Montana-Dakota Utilities Co,12199,105,Williams,48.145,-103.6375,OIL,2,2,2
7353,ND,Hillsboro,City of Hillsboro - (ND),8628,97,Traill,47.396944,-97.060555,OIL,4,16,12
7355,ND,Kindred School,Kindred Public School,49991,17,Cass,46.64974,-97.00953,OIL,2,78,27
7346,ND,Garrison,USACE-Omaha,19635,57,Mercer,47.4945,-101.4115,HYDRO,583,3179292,
7323,ND,Aurora Wind Project,"Aurora Wind Project, LLC",63021,105,Williams,48.5,-103.1,WIND,299,,
7327,ND,Bison 4 Wind Energy Center,"ALLETE, Inc.",12647,59,Morton,46.98,-101.554722,WIND,205,750939,
7338,ND,"Emmons-Logan Wind, LLC","Emmons-Logan Wind, LLC",61915,29,Emmons,46.373013,-100.051111,WIND,200,27725,
7335,ND,Courtenay Wind Farm,Northern States Power Co - Minnesota,13781,93,Stutsman,47.179722,-98.594722,WIND,200,709772,
7332,ND,"Burke Wind, LLC",Burke Wind LLC,60714,13,Burke,48.754492,-102.637766,WIND,199,,
7354,ND,Jamestown,Otter Tail Power Co,14232,93,Stutsman,46.905665,-98.662183,OIL,48,457,1207
7379,ND,Tatanka Wind Power LLC,Acciona Wind Energy USA LLC,55918,21,Dickey,45.959325,-98.946325,WIND,180,602534,
7381,ND,"Thunder Spirit Wind, LLC",Montana-Dakota Utilities Co,12199,1,Adams,46.075,-102.563333,WIND,156,547596,
7340,ND,"Foxtail Wind, LLC","Foxtail Wind, LLC",61374,21,Dickey,46.098211,-98.880073,WIND,150,,
7330,ND,Brady II Wind Energy Center,"Brady Wind II, LLC",60149,89,Stark,46.611515,-102.78821,WIND,150,642203,
7331,ND,Brady Wind Energy Center,"Brady Wind, LLC",60148,89,Stark,46.646471,-102.765089,WIND,150,651123,
7360,ND,"Lindahl Wind Project, LLC","Enel Green Power NA, Inc.",59380,105,Williams,48.533,-102.933,WIND,150,587816,
7347,ND,"Garrison Butte Wind, LLC",Capital Power Corporation,59365,57,Mercer,47.453217,-101.648706,WIND,150,,
7363,ND,Merricourt Wind Energy Center,Otter Tail Power Co,14232,51,McIntosh,46.1075,-99.0592,WIND,150,,
7329,ND,Border Winds Wind Farm,Northern States Power Co - Minnesota,13781,79,Rolette,48.964722,-99.613889,WIND,150,612374,
7375,ND,Rugby Wind Power Project,Avangrid Renewables LLC,15399,69,Pierce,48.4968,-99.9513,WIND,149,393213,
7341,ND,FPL Energy Ashtabula Wind LLC,FPL Energy Ashtabula Wind LLC,56122,3,Barnes,47.1294,-97.8853,WIND,149,427455,
7321,ND,Ashtabula Wind II LLC,Ashtabula Wind II LLC,56414,91,Steele,47.292437,-97.931692,WIND,120,353744,
7356,ND,"Langdon Renewables, LLC",FPL Energy Langdon Wind LLC,55799,19,Cavalier,48.63,-98.315,WIND,119,462960,
7373,ND,Prairie Winds ND1,Basin Electric Power Coop,1307,101,Ward,47.933621,-101.269189,WIND,116,364782,
7348,ND,Glen Ullin Energy Center,Allete Clean Energy,59496,59,Morton,46.964077,-101.816495,WIND,107,28697,
7326,ND,Bison 3 Wind Energy Center,"ALLETE, Inc.",12647,59,Morton,46.98,-101.554722,WIND,105,290829,
7325,ND,Bison 2 Wind Energy Center,"ALLETE, Inc.",12647,59,Morton,46.98,-101.554722,WIND,105,284922,
7378,ND,Sunflower Wind Project,Novatus Energy,60453,59,Morton,46.837569,-102.07455,WIND,104,438251,
7324,ND,Baldwin Wind LLC,Baldwin Wind LLC,56688,15,Burleigh,47.1133,-100.7086,WIND,102,353866,
7366,ND,New Frontier Wind,Capital Power Corporation,59365,49,McHenry,47.861531,-100.947664,WIND,100,384407,
7367,ND,"Oliver Wind III, LLC","Oliver Wind III, LLC",60562,59,Morton,46.9571,-101.1681,WIND,99,429884,
7328,ND,Bison I Wind Energy Center,"ALLETE, Inc.",12647,59,Morton,46.98,-101.554722,WIND,82,244356,
7322,ND,Ashtabula Wind III LLC,Ashtabula Wind III LLC,56727,3,Barnes,47.1242,-97.8956,WIND,62,198904,
7343,ND,FPL Energy North Dakota Wind I/II,FPL Energy North Dakota Wind LLC,34723,45,LaMoure,46.327169,-98.898356,WIND,62,135510,
7344,ND,FPL Energy Oliver Wind I LLC,FPL Energy Oliver County Wind,55696,65,Oliver,47.152847,-101.197716,WIND,51,146919,
