Year,MSHA_ID,mine_name,mine_type,mstafips,state,county,mctyfips,lat,lon,production
2018,4406868,No 6,Underground,51,Virginia,Buchanan,27,37.316389,-82.235833,57216
2018,1518819,Shm-35,Surface,54,West Virginia,Wyoming,109,37.736111,-81.865,55736
2018,4609370,Miner #57,Surface,51,Virginia,Buchanan,27,37.945278,-82.599722,55614
2018,4407285,No. 10,Surface,51,Virginia,Buchanan,27,37.423763,-82.113935,55514
2018,4407041,Ahm Magoffin #1,Surface,21,Kentucky,Magoffin,153,37.541751,-82.739624,54793
2018,3606562,Reichard Strips,Surface,42,Pennsylvania,Jefferson,65,41.120556,-79.204722,53787
2018,4407052,D-10 Dorchester,Underground,51,Virginia,Wise,195,36.966167,-82.785468,53766
2018,4609473,No. 1 Surface Mine,Surface,54,West Virginia,Greenbrier,25,38.026667,-80.679444,53281
2018,1519419,Noble Mine #2,Surface,21,Kentucky,Perry,193,37.342063,-83.129215,52802
2018,3608780,Logan Surface Mine,Surface,42,Pennsylvania,Columbia,37,40.803056,-76.376389,52351
2018,4609182,Highwall Miner #1,Surface,51,Virginia,Tazewell,185,37.263056,-81.485,52266
2018,1519784,No.7,Underground,21,Kentucky,Pike,195,37.375833,-82.2175,51795
2018,1202416,Addcar Systems 20 Hwm Serial N,Surface,39,Ohio,Vinton,163,37.354444,-87.0975,51608
2018,4407386,Surface Mine No. 2,Surface,51,Virginia,Wise,195,36.938333,-82.692778,51562
2018,4608786,No 57 Mine,Underground,54,West Virginia,Mcdowell,47,37.464722,-81.48,51101
2018,4407380,Gobco #14,Surface,51,Virginia,Wise,195,36.965,-82.425,49577
2018,1519817,Little Round,Surface,21,Kentucky,Whitley,235,36.681667,-83.923889,49568
2018,1800748,Taylor # 1,Underground,24,Maryland,Allegany,1,39.521389,-79.030556,49252
2018,3602773,Shaw,Surface,42,Pennsylvania,Somerset,111,39.782167,-79.057633,48555
2018,1518134,Ccu Halls Creek Mine,Surface,21,Kentucky,Muhlenberg,177,37.25038,-87.110967,48545
2018,3604383,Lattimer Division,Surface,42,Pennsylvania,Luzerne,79,40.991667,-75.983056,48358
2018,102996,Jap Creek Mine,Surface,1,Alabama,Walker,127,33.691786,-87.216853,48092
2018,4608659,Mine No. 32,Underground,54,West Virginia,Mcdowell,47,37.328611,-81.6875,47832
2018,1518466,Alden Resources Harps Creek,Underground,21,Kentucky,Whitley,235,36.706377,-83.903558,47634
2018,3608501,Mountaineer #1,Surface,42,Pennsylvania,Somerset,111,40.190209,-79.047054,47151
2018,4609151,Shm 46 Highwall Miner,Surface,54,West Virginia,Fayette,19,38.035556,-81.224167,46626
2018,1519548,Surface #4,Surface,21,Kentucky,Johnson,115,37.922718,-82.885102,46296
2018,1519736,M-107,Surface,21,Kentucky,Knox,121,37.050278,-82.467222,45969
2018,3603328,Mine No 1,Surface,42,Pennsylvania,Somerset,111,39.971667,-78.982778,45592
2018,4609538,Grassy #1 Surface,Surface,54,West Virginia,Nicholas,67,38.169722,-80.691944,45571
2018,103496,Dutton Hill Mine No. 2,Surface,1,Alabama,Walker,127,33.803056,-87.352222,44804
2018,3609178,Rausch Creek Coal Mining Branc,Surface,42,Pennsylvania,Schuylkill,107,40.678611,-76.328611,43101
